Target Distance: 100, Step Size: 20
0: (x,y) = (0, 0)
1: (x,y) = (-15.7602, 12.3132)
2: (x,y) = (4.19107, 13.7084)
3: (x,y) = (5.23779, -6.26423)
4: (x,y) = (24.463, -11.777)
5: (x,y) = (40.8461, -23.2485)
6: (x,y) = (21.3587, -18.7495)
7: (x,y) = (33.395, -2.77678)
8: (x,y) = (49.778, 8.69475)
9: (x,y) = (51.8686, 28.5852)
10: (x,y) = (68.2516, 40.0567)
11: (x,y) = (50.7592, 49.7529)
12: (x,y) = (67.5326, 60.6457)
13: (x,y) = (82.3955, 47.2631)
14: (x,y) = (63.3744, 53.4434)
15: (x,y) = (44.9643, 45.6288)
16: (x,y) = (63.8747, 39.1174)
17: (x,y) = (63.5256, 59.1144)
18: (x,y) = (74.9971, 42.7313)
19: (x,y) = (58.8168, 30.9756)
20: (x,y) = (76.7927, 39.7431)
21: (x,y) = (84.6073, 21.333)
22: (x,y) = (85.654, 1.36038)
23: (x,y) = (80.8156, 20.7663)
24: (x,y) = (63.6722, 10.4655)
25: (x,y) = (82.4661, 3.62513)
26: (x,y) = (84.5567, -16.2653)
27: (x,y) = (73.6639, 0.508101)
28: (x,y) = (54.6428, 6.68844)
29: (x,y) = (52.8996, 26.6123)
30: (x,y) = (34.9238, 17.8449)
31: (x,y) = (21.2838, 32.472)
32: (x,y) = (26.7965, 13.2468)
33: (x,y) = (39.6523, 28.5676)
34: (x,y) = (53.2923, 13.9406)
35: (x,y) = (35.7999, 4.24437)
36: (x,y) = (38.2373, 24.0953)
37: (x,y) = (40.6746, 4.24437)
38: (x,y) = (53.5304, -11.0765)
39: (x,y) = (33.5426, -11.7745)
40: (x,y) = (14.0552, -7.27548)
41: (x,y) = (-3.43722, -16.9717)
42: (x,y) = (0.378961, -36.6042)
43: (x,y) = (-17.1134, -46.3004)
44: (x,y) = (-30.2346, -61.3946)
45: (x,y) = (-10.3442, -59.304)
46: (x,y) = (8.88106, -53.7913)
47: (x,y) = (4.04262, -34.3854)
48: (x,y) = (3.69357, -14.3884)
49: (x,y) = (11.8283, -32.6593)
50: (x,y) = (17.0047, -13.3408)
51: (x,y) = (8.23726, 4.63507)
52: (x,y) = (-4.88392, -10.4591)
53: (x,y) = (-14.2733, -28.1181)
54: (x,y) = (3.99756, -36.2528)
55: (x,y) = (-9.64241, -21.6257)
56: (x,y) = (10.0537, -18.1528)
57: (x,y) = (11.1005, -38.1254)
58: (x,y) = (-0.935833, -54.0981)
59: (x,y) = (-16.03, -67.2193)
60: (x,y) = (-34.9404, -73.7306)
61: (x,y) = (-53.0666, -82.183)
After 62 steps, the subject has the following location:
(x,y) = (-72.9904, -80.4399)
 or
(m,a) = (108.619, -132.22)
Average outward distance per step = 1.75193
Target Distance: 100, Step Size: 20
0: (x,y) = (0, 0)
1: (x,y) = (10, -17.3205)
2: (x,y) = (-9.97259, -16.2738)
3: (x,y) = (-29.3785, -11.4354)
4: (x,y) = (-49.0747, -7.96239)
5: (x,y) = (-55.586, 10.948)
6: (x,y) = (-53.8429, -8.97591)
7: (x,y) = (-49.3439, -28.4633)
8: (x,y) = (-65.9246, -17.2795)
9: (x,y) = (-58.7573, 1.39216)
10: (x,y) = (-54.9411, 21.0247)
11: (x,y) = (-51.4681, 1.32854)
12: (x,y) = (-70.9555, -3.17048)
13: (x,y) = (-79.723, 14.8054)
14: (x,y) = (-62.4025, 24.8054)
15: (x,y) = (-56.555, 5.67931)
16: (x,y) = (-66.555, -11.6412)
17: (x,y) = (-48.5791, -2.87378)
18: (x,y) = (-53.7555, 16.4447)
19: (x,y) = (-67.3955, 1.81767)
20: (x,y) = (-76.4753, -16.0025)
21: (x,y) = (-64.439, -0.0297542)
22: (x,y) = (-45.7674, 7.1376)
23: (x,y) = (-53.582, -11.2725)
24: (x,y) = (-73.4724, -9.18192)
25: (x,y) = (-62.2886, -25.7627)
26: (x,y) = (-75.6712, -10.8998)
27: (x,y) = (-72.5425, -30.6535)
28: (x,y) = (-92.1055, -26.4953)
After 29 steps, the subject has the following location:
(x,y) = (-109.066, -15.8969)
 or
(m,a) = (110.219, -171.707)
Average outward distance per step = 3.80065
Target Distance: 100, Step Size: 20
0: (x,y) = (0, 0)
1: (x,y) = (19.4059, -4.83844)
2: (x,y) = (8.22206, 11.7423)
3: (x,y) = (-7.32086, 24.3287)
4: (x,y) = (-12.4972, 43.6472)
5: (x,y) = (-14.9346, 23.7963)
6: (x,y) = (-13.5395, 43.7476)
7: (x,y) = (6.35094, 45.8382)
8: (x,y) = (22.1112, 58.1514)
9: (x,y) = (17.2727, 38.7455)
10: (x,y) = (-2.42344, 42.2184)
11: (x,y) = (15.2355, 51.6079)
12: (x,y) = (33.9071, 44.4405)
13: (x,y) = (19.0442, 57.8231)
14: (x,y) = (0.133851, 51.3118)
15: (x,y) = (15.228, 38.1906)
16: (x,y) = (3.19174, 54.1633)
17: (x,y) = (19.3721, 42.4076)
18: (x,y) = (39.223, 44.845)
19: (x,y) = (42.696, 25.1488)
20: (x,y) = (50.5106, 6.73872)
21: (x,y) = (30.5136, 6.38968)
22: (x,y) = (49.0573, 13.8818)
23: (x,y) = (68.0784, 7.70147)
24: (x,y) = (50.2583, -1.37834)
25: (x,y) = (32.4382, 7.70147)
26: (x,y) = (43.9097, 24.0845)
27: (x,y) = (62.0359, 32.5369)
28: (x,y) = (51.7351, 49.6802)
29: (x,y) = (45.8877, 30.5541)
30: (x,y) = (54.0224, 12.2832)
31: (x,y) = (73.995, 13.3299)
32: (x,y) = (71.5576, -6.52099)
33: (x,y) = (61.2568, 10.6224)
34: (x,y) = (66.0953, 30.0283)
35: (x,y) = (85.0057, 36.5396)
After 36 steps, the subject has the following location:
(x,y) = (102.665, 45.9291)
 or
(m,a) = (112.47, 24.1023)
Average outward distance per step = 3.12417
